marca,clase,provincia,servicio,cantidad
MERCEDES BENZ,Volqueta,CAÑAR,PARTICULAR,75
FORD,Trailer,GUAYAS,PARTICULAR,74
FORD,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,74
TOYOTA,Camión,PICHINCHA,PARTICULAR,74
FORD,Volqueta,LOJA,PARTICULAR,74
FREIGHTLINER,Trailer,PICHINCHA,PARTICULAR,74
CHEVROLET,Camión,IMBABURA,ALQUILER,73
NISSAN,Camión,PICHINCHA,PARTICULAR,73
DAIHATSU,Camión,ESMERALDAS,PARTICULAR,73
FORD,Volqueta,AZUAY,ALQUILER,72
JAC,Camión,PICHINCHA,PARTICULAR,72
ISUZU,Camión,LOS RÍOS,PARTICULAR,72
INTERNATIONAL,Volqueta,PICHINCHA,PARTICULAR,71
NISSAN,Volqueta,MANABÍ,PARTICULAR,70
MERCEDES BENZ,Volqueta,LOJA,PARTICULAR,69
MERCEDES BENZ,Volqueta,EL ORO,PARTICULAR,68
KENWORTH,Trailer,PICHINCHA,PARTICULAR,68
KIA,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,67
CHEVROLET,Camión,TUNGURAHUA,ALQUILER,67
CHEVROLET,Camión,AZUAY,ALQUILER,67
INTERNATIONAL,Trailer,GUAYAS,ALQUILER,66
NISSAN,Volqueta,LOS RÍOS,PARTICULAR,66
MITSUBISHI,Camión,CHIMBORAZO,PARTICULAR,65
FREIGHTLINER,Trailer,GUAYAS,PARTICULAR,65
TOYOTA,Camión,CHIMBORAZO,PARTICULAR,64
DAIHATSU,Camión,BOLÍVAR,PARTICULAR,64
HYUNDAI,Camión,LOJA,PARTICULAR,64
JAC,Camión,AZUAY,PARTICULAR,64
SCANIA,Camión,PICHINCHA,PARTICULAR,63
HINO,Volqueta,EL ORO,PARTICULAR,63
HYUNDAI,Camión,PICHINCHA,ALQUILER,62
HYUNDAI,Camión,EL ORO,PARTICULAR,62
HYUNDAI,Camión,ESMERALDAS,PARTICULAR,62
HINO,Camión,BOLÍVAR,ALQUILER,61
TOYOTA,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,61
MERCEDES BENZ,Camión,TUNGURAHUA,PARTICULAR,60
FREIGHTLINER,Trailer,PICHINCHA,ALQUILER,60
HINO,Camión,LOJA,ALQUILER,60
INTERNATIONAL,Volqueta,MANABÍ,PARTICULAR,59
